Filenames,Contents
train2011-1000_000001.jpg,"Suite à l'annonce d'un heureux événement,"
train2011-1000_000002.jpg,mon adresse a changé. Veuillez noter mes nouvelles
train2011-1000_000003.jpg,coordonnées ci-dessus indiquées ainsi que mon
train2011-1000_000004.jpg,nouveau numéro de téléphone.
train2011-1000_000005.jpg,Merci de m'envoyer mon prochain colis à
train2011-1000_000006.jpg,cette nouvelle adresse.
train2011-1000_000007.jpg,"Cordialement,"
train2011-1001_000001.jpg,Je vous informe par la présente qu'à compter
train2011-1001_000002.jpg,"du 1er novembre 2006, je souhaite fermer mon"
train2011-1001_000003.jpg,compte au sein de votre établissement bancaire
train2011-1001_000004.jpg,afin de changer de banque.
train2011-1001_000005.jpg,"Je vous prie d'agréer, Monsieur, l'expression de"
train2011-1001_000006.jpg,mes salutations distinguées.
train2011-1002_000001.jpg,"Par la présente lettre, j'ai l'honneur"
train2011-1002_000002.jpg,de vous demander des documentations concernant les
train2011-1002_000003.jpg,assurances automobiles de votre société.
train2011-1002_000004.jpg,Actuellement cliente chez vous
train2011-1002_000005.jpg,"(Référence cliente : RCNUP29), je souhaiterai comparer"
train2011-1002_000006.jpg,"vos prestations avec d'autres sociétés, me paraissant"
train2011-1002_000007.jpg,plus avantageuses.
train2011-1002_000008.jpg,Je vous remercie de l'attention
train2011-1002_000009.jpg,"que vous aurez prêté à mon courrier, et vous prie"
train2011-1002_000010.jpg,"d'agréer, Madame, monsieur, l'expression de mes"
train2011-1002_000011.jpg,respectueuses salutations.
train2011-1003_000001.jpg,Ayant reçu hier le téléphone que je vous
train2011-1003_000002.jpg,"avais commandé, j'ai constaté - après avoir"
train2011-1003_000003.jpg,suivi scrupuleusement les instructions fournies -
train2011-1003_000004.jpg,qu'il était défectueux ; il est impossible de
train2011-1003_000005.jpg,le mettre en route.
train2011-1003_000006.jpg,Je vous prie donc de bien vouloir me rembourser
train2011-1003_000007.jpg,"ce produit inutilisable, et si nécessaire m'indiquer"
train2011-1003_000008.jpg,par quel moyen vous le retourner à moindres
train2011-1003_000009.jpg,frais.
train2011-1003_000010.jpg,"Dans l'attente de votre prompte réponse, je vous prie"
train2011-1003_000011.jpg,"d'agréer, Madame, Monsieur, l'expression de"
train2011-1003_000012.jpg,mes sentiments les meilleurs.
train2011-1004_000001.jpg,"Mon endettement étant devenu trop important, je souhaiterais"
train2011-1004_000002.jpg,convenir avec vous d'un nouvel échelonnement de mes dettes.
train2011-1004_000003.jpg,Pourriez-vous me contacter afin d'en discuter?
train2011-1004_000004.jpg,Croyez bien que je souhaite régler ces difficultés de paiement
train2011-1004_000005.jpg,au plus vite.
train2011-1004_000006.jpg,"Dans l'attente, je vous prie d'agréer, Messieurs, l'expression"
train2011-1004_000007.jpg,de mes sentiments distingués.
train2011-1005_000001.jpg,"J'envisage d'acquérir un nouveau véhicule,"
train2011-1005_000002.jpg,je  souhaiterai donc recevoir votre documentation concernant
train2011-1005_000003.jpg,"vos contrats d'assurance auto (tout risque, tierce collision,"
train2011-1005_000004.jpg,tout risque) pour un véhicule de type Citroën C2 récent.
train2011-1005_000005.jpg,Merci de me faire parvenir dans les meilleurs
train2011-1005_000006.jpg,délais vos différentes prestations.
train2011-1005_000007.jpg,Cordialement.
train2011-1006_000001.jpg,Je désire fermer mon compte QDBQX26 concernant
train2011-1006_000002.jpg,mon assurance habitation.
train2011-1006_000003.jpg,Merci par avance.
train2011-1006_000004.jpg,Cordialement.
train2011-1007_000001.jpg,Je souhaite par la présente modifier le contrat de commande me
train2011-1007_000002.jpg,"liant à votre entreprise. En effet, je voudrais doubler la"
train2011-1007_000003.jpg,quantité de chaussettes que je vous ai commandées. Vous serait-il
train2011-1007_000004.jpg,possible de prendre acte de cette lettre dès sa réception?
train2011-1007_000005.jpg,"Veuillez agréer, Madame, Monsieur, l'expression de mes salutations"
train2011-1007_000006.jpg,distinguées.
train2011-1008_000001.jpg,Je désire  Fermer  mon compte KKWQY71 concernant une
train2011-1008_000002.jpg,assurance automobile.
train2011-1008_000003.jpg,Merci par avance.
train2011-1008_000004.jpg,Cordialement
train2011-1009_000001.jpg,Je souhaite résilier mon contrat d'assurance auto.Ma référence
train2011-1009_000002.jpg,client est : RIGDY42. Je ne suis pas satisfaite du service.
train2011-1009_000003.jpg,"Cordialement,"
train2011-1010_000001.jpg,Je suis titulaire d'un contrat d'assurance
train2011-1010_000002.jpg,"chez BAAF sous la référence VPDSM44. Par la présente,"
train2011-1010_000003.jpg,je vous informe que je me suis mariée le 29 septembre
train2011-1010_000004.jpg,2006. Toutefois mon nom patronymique ne change pas.
train2011-1010_000005.jpg,Je vous remercie de bien vouloir prendre en compte
train2011-1010_000006.jpg,dès à présent cette nouvelle situation familiale et
train2011-1010_000007.jpg,"vous prie de bien vouloir agréer, Madame, Monsieur,"
train2011-1010_000008.jpg,mes salutations distinguées.
train2011-1011_000001.jpg,J'ai regardé dans votre catalogue Automne-
train2011-1011_000002.jpg,hiver  et je  souhaiterai  faire la commande
train2011-1011_000003.jpg,suivante.
train2011-1011_000004.jpg,"- 3 paires de chaussettes, référence CH45-12"
train2011-1011_000005.jpg,Ma  reférence  client est XXGRH53
train2011-1011_000006.jpg,Je vous remercie et vous prie d' agreer  mes
train2011-1011_000007.jpg,sincères salutations.
train2011-1012_000001.jpg,Mes coordonnées téléphoniques ont changées suite
train2011-1012_000002.jpg,à mon emménagement avec ma concubine. Mon
train2011-1012_000003.jpg,nouveau numéro de téléphone est le suivant :
train2011-1012_000004.jpg,03 76 42 91 14.
train2011-1012_000005.jpg,Veuillez agréer l'expression de ma considération
train2011-1012_000006.jpg,respectueuse.
train2011-1013_000001.jpg,Je vous prie de bien vouloir prendre en compte une modification
train2011-1013_000002.jpg,dans mes données personnelles. A compter du 1 Novembre 2006
train2011-1013_000003.jpg,je passe du statut de célibataire à celui de femme mariée.
train2011-1013_000004.jpg,Je joins à cette lettre les justificatifs nécessaires :
train2011-1013_000005.jpg,- Photocopie du livret de famille
train2011-1013_000006.jpg,- Photocopie de l'attestation de mariage.
train2011-1013_000007.jpg,Je reste disponible si vous avez besoin d'informations
train2011-1013_000008.jpg,complémentaires.
train2011-1013_000009.jpg,Je vous remercie de bien vouloir traiter rapidement ma
train2011-1013_000010.jpg,"demande et je vous prie d'agréer, Madame, Monsieur,"
train2011-1013_000011.jpg,mes sincères salutations.
train2011-1014_000001.jpg,Mon courrier du 25.09 concernant une demande
train2011-1014_000002.jpg,de renseignements au sujet de vos tarifs d'assurance
train2011-1014_000003.jpg,pour les risques d'habitation n'a pas fait
train2011-1014_000004.jpg,l'objet d'une réponse. Je me permets de renouveler
train2011-1014_000005.jpg,"cette demande, espèrant une réponse par retour"
train2011-1014_000006.jpg,du courrier.
train2011-1014_000007.jpg,Avec mes meilleurs sentiments.
train2011-1015_000001.jpg,Je me suis mariée récemment et vous prie de bien
train2011-1015_000002.jpg,vouloir modifier mes coordonnées dans vos fichiers concernant
train2011-1015_000003.jpg,mes contrats d'assurance habitation et véhicule
train2011-1015_000004.jpg,mon nom marital : GASPARI
train2011-1015_000005.jpg,Mon adresse demeure inchangée.
train2011-1015_000006.jpg,"D'autre part, je vous informe que mon mari GASPARI"
train2011-1015_000007.jpg,Bernard conduira de façon habituelle mon véhicule
train2011-1015_000008.jpg,409.
train2011-1015_000009.jpg,"Je vous prie d'agréer Monsieur, mes sincères et"
train2011-1015_000010.jpg,cordiales salutations.
train2011-1016_000001.jpg,"Suite à mon courrier du 24-08 dernier, je"
train2011-1016_000002.jpg,n'ai reçu aucune réponse de votre part concernant
train2011-1016_000003.jpg,ma demande de changement de coordonnées personnelles.
train2011-1016_000004.jpg,Vous trouverez ces-dites coordonnées ci-dessus.
train2011-1016_000005.jpg,J'ai espoir que ce changement interviendra au plus tôt.
train2011-1016_000006.jpg,"Dans l'attente de votre courrier de confirmation,"
train2011-1016_000007.jpg,"veuillez agréer, Madame, Monsieur, l'expression de"
train2011-1016_000008.jpg,ma considération distinguée.
train2011-1017_000001.jpg,"Suite à une étude plus approfondie sur ma dernière commande,"
train2011-1017_000002.jpg,je vous écris pour vous exprimer mon souhait de remplacer le modèle
train2011-1017_000003.jpg,commandé par le modèle identifié pour la référence CH45-02.
train2011-1017_000004.jpg,Je tiens à m'excuser pour ce changement sans doute
train2011-1017_000005.jpg,perturbateur à votre égard.
train2011-1017_000006.jpg,"je vous rappelle ci-dessous ma référence client, ainsi que mes"
train2011-1017_000007.jpg,coordonnées :
train2011-1017_000008.jpg,. référence client : QKCLJ47
train2011-1017_000009.jpg,. adresse : M. Yves TOUCHARD
train2011-1017_000010.jpg,"6, B TRAVERSE DE LA PRELE"
train2011-1017_000011.jpg,880120 LE SYNDICAT
train2011-1017_000012.jpg,. téléphone : 03 59 27 10 59
train2011-1017_000013.jpg,"Dans l'attente de vos nouvelles, veuillez agréer, Madame,Monsieur"
train2011-1017_000014.jpg,mes salutations les plus distinguées.
train2011-1018_000001.jpg,Je déclare par la présente avoir été à l'origine d'un accident de circulation
train2011-1018_000002.jpg,"le 26 septembre 2006 avec le véhicule de type LAGUNA RENAULT, immatriculé"
train2011-1018_000003.jpg,850 ZZZ 91 et assuré chez vous. Veuillez trouver ci-joint le contrat amiable
train2011-1018_000004.jpg,"établit  à la suite de  cette  accident, mentionnant les faits, les dégâts et les tiers concernés."
train2011-1018_000005.jpg,Je vous  demanderai  donc de bien vouloir entreprendre rapidement les actions
train2011-1018_000006.jpg,nécessaire  concernant l'évaluation des dégâts causés à mon véhicule et la mise
train2011-1018_000007.jpg,"à disposition, durant la période d'immobilisation de mon véhicule, d'une voiture de rechange,"
train2011-1018_000008.jpg,dans la même gamme que mon véhicule actuel. Mon véhicule actuel se situe au
train2011-1018_000009.jpg,garage RENAULT AVENIR à Eloyes.
train2011-1018_000010.jpg,"Je vous  demanderai  enfin, de bien vouloir faire suite rapidement à ma demande, et"
train2011-1018_000011.jpg,de vous positionner sur les montants des indemnisations que vous m'accorderez.
train2011-1018_000012.jpg,"Dans l'espérance d'une réponse rapide de votre part, je vous prie d'agréer Madame,"
train2011-1018_000013.jpg,"Monsieur, l'expression de mes salutations  distingués ."
train2011-1018_000014.jpg,Cordialement
train2011-1019_000001.jpg,J'ai actuellement dans votre établissement un
train2011-1019_000002.jpg,compte d'épargne logement pour lequel je verse 60
train2011-1019_000003.jpg,euros par mois. Pour  divers  raisons je souhaiterai passer
train2011-1019_000004.jpg,à un versement de 45 euros par mois.
train2011-1019_000005.jpg,"Je vous prie, monsieur, d'agréer mes salutations distinguées."
train2011-1020_000001.jpg,Je souhaite  Faire  l'acquisition d'actions boursières
train2011-1020_000002.jpg,pour un montant total de 1500  Euros . Je vous
train2011-1020_000003.jpg,laisse libre choix quand au placement à  eFFectuer
train2011-1020_000004.jpg,"Dans l'attente d'une  reponse  de votre part, veuillez"
train2011-1020_000005.jpg,agréer mes sincères salutations.
train2011-1021_000001.jpg,Je vous prie de bien vouloir prendre en  consideration
train2011-1021_000002.jpg,"la modification de ma commande N° CF 22626, de"
train2011-1021_000003.jpg,ce fait la quantité de CD commandée passe de
train2011-1021_000004.jpg,500 à 1000.
train2011-1021_000005.jpg,"Veuillez agréer Madame, Monsieur, mes salutations"
train2011-1021_000006.jpg,les plus distinguées
train2011-1022_000001.jpg,"J'ai récemment brisé la porte vitrée d'un magasin en passant au travers,"
train2011-1022_000002.jpg,je vous écris donc pour vous signaler que je souhaite être couverte
train2011-1022_000003.jpg,au titre de la responsabilité civile.
train2011-1022_000004.jpg,J'espère que ma demande sera prise en compte et vous en remercie
train2011-1022_000005.jpg,par avance.
train2011-1022_000006.jpg,"Veuillez recevoir, Madame, Monsieur, mes salutations distinguées."
train2011-1023_000001.jpg,Je vous informe par la présente du changement d'opérateur
train2011-1023_000002.jpg,téléphonique - mon nouveau numéro : 03.00.04.68.04
train2011-1023_000003.jpg,"Je vous remercie de bien vouloir effectuer le changement,"
train2011-1023_000004.jpg,"et je vous prie d'agréer, Madame, Monsieur, l'expression"
train2011-1023_000005.jpg,de mes salutations distinguées.
train2011-1024_000001.jpg,"Je vous ai envoyé une commande hier, mais"
train2011-1024_000002.jpg,je m'aperçois que j'ai oublié de commander 3 (trois)
train2011-1024_000003.jpg,paires de chaussettes (référence CH45-12). Pourriez-
train2011-1024_000004.jpg,vous les rajouter à ma commande ?
train2011-1024_000005.jpg,"Avec mes remerciements,"
